id,sg_uf,de_ramo,setor,nm_divisao,nm_segmento,de_nivel_atividade,nm_meso_regiao,nm_micro_regiao,de_faixa_faturamento_estimado,idade_empresa_anos,de_natureza_juridica,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,qt_filiais
a6984c3ae395090e3bee8ad63c3758b110de096d5d819583a784a113726db849,RN,INDUSTRIA DA CONSTRUCAO,CONSTRUÇÃO CIVIL,CONSTRUCAO DE EDIFICIOS,CONSTRUCAO,ALTA,LESTE POTIGUAR,NATAL,"DE R$ 1.500.000,01 A R$ 4.800.000,00",5,SOCIEDADE EMPRESARIA LIMITADA,False,False,False,False,False,0
6178f41ade1365e44bc2c46654c2c8c0eaae27dcb476c47fdef50b33f4f56f05,PI,SERVICOS DE ALOJAMENTO/ALIMENTACAO,SERVIÇO,ALIMENTACAO,ALOJAMENTO E ALIMENTACAO,BAIXA,CENTRO NORTE PIAUIENSE,TERESINA,"DE R$ 81.000,01 A R$ 360.000,00",6,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
4a7e5069a397f12fdd7fd57111d6dc5d3ba558958efc02edc5147bc2a2535b08,AM,"TRANSPORTE, ARMAZENAGEM E CORREIO",SERVIÇO,TRANSPORTE TERRESTRE,TRANSPORTE ARMAZENAGEM E CORREIO,MEDIA,CENTRO AMAZONENSE,MANAUS,"ATE R$ 81.000,00",7,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
3348900fe63216a439d2e5238c79ddd46ede454df7b9d8c24ac33eb21d4b21ef,AM,SERVICOS DIVERSOS,SERVIÇO,REPARACAO E MANUTENCAO DE EQUIPAMENTOS DE INFORMATICA E COMUNICACAO E DE OBJETOS PESSOAIS E DOMESTICOS,OUTRAS ATIVIDADES DE SERVICOS,MEDIA,CENTRO AMAZONENSE,MANAUS,"DE R$ 81.000,01 A R$ 360.000,00",8,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
1f9bcabc9d3173c1fe769899e4fac14b053037b953a1e4b102c769f7611ab29f,RN,"SERVICOS PROFISSIONAIS, TECNICOS E CIENTIFICOS",SERVIÇO,SERVICOS DE ARQUITETURA E ENGENHARIA TESTES E ANALISES TECNICAS,ATIVIDADES PROFISSIONAIS CIENTIFICAS E TECNICAS,ALTA,LESTE POTIGUAR,NATAL,"DE R$ 81.000,01 A R$ 360.000,00",9,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
529a1f5fc6f88071db7d38492a0ce7c985c77e9b1c3bb62f5bd2ebec4860a392,RN,QUIMICA-PETROQUIMICA,INDUSTRIA,FABRICACAO DE PRODUTOS DE MINERAIS NAO METALICOS,INDUSTRIAS DE TRANSFORMACAO,ALTA,OESTE POTIGUAR,PAU DOS FERROS,"DE R$ 81.000,01 A R$ 360.000,00",10,SOCIEDADE EMPRESARIA LIMITADA,False,False,False,False,False,0
8bf37c178778e537b108e58bf20552abe10c3a7fae129b04b52506188e7176da,MA,"TRANSPORTE, ARMAZENAGEM E CORREIO",SERVIÇO,TRANSPORTE TERRESTRE,TRANSPORTE ARMAZENAGEM E CORREIO,MEDIA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,"ATE R$ 81.000,00",11,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
0114fd3fbdc347c561843cde6aece12e8e53cb5d32c77dd2d5cb382605b7be79,RN,SERVICOS ADMINISTRATIVOS,SERVIÇO,AGENCIAS DE VIAGENS OPERADORES TURISTICOS E SERVICOS DE RESERVAS,ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,ALTA,LESTE POTIGUAR,NATAL,,12,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
6c45aabb849a760a3a7107c7a61262642f683feb8912a41a859f69fe4ce02b1c,AM,BENS DE CONSUMO,INDUSTRIA,FABRICACAO DE PRODUTOS DIVERSOS,INDUSTRIAS DE TRANSFORMACAO,ALTA,CENTRO AMAZONENSE,PARINTINS,"DE R$ 81.000,01 A R$ 360.000,00",13,COOPERATIVA,False,False,False,False,False,0
2fcd678d71b04ccb77644fff57706bdc7fcfbbec6b19267e6600f46121b726e8,RN,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,MEDIA,OESTE POTIGUAR,MOSSORO,"DE R$ 81.000,01 A R$ 360.000,00",14,EMPRESARIO INDIVIDUAL,False,False,False,False,False,3
5e88eba292754550f48fb752318a0ebbbf8c46e8480531897ab51cf4ea211c1f,RN,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,ALTA,OESTE POTIGUAR,UMARIZAL,"ATE R$ 81.000,00",15,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
3d7a24d9830055fd8aeaec2fcc8ef5b248d8b0d6f780b57605181e4bcdafb9f8,RO,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,ALTA,,,"DE R$ 1.500.000,01 A R$ 4.800.000,00",16,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
ae7aa54603064698a34a870f9e06364ae63466b55e914d44a6577007dacfedab,PI,SERVICOS ADMINISTRATIVOS,SERVIÇO,SERVICOS DE ESCRITORIO DE APOIO ADMINISTRATIVO E OUTROS SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS,ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,BAIXA,CENTRO NORTE PIAUIENSE,TERESINA,"DE R$ 81.000,01 A R$ 360.000,00",17,EMPRESARIO INDIVIDUAL,False,False,False,False,False,1
1e954ad5e6a5b7af8582da953709cd702a2f5e5d674361fa15d9f3649c216f2c,AM,SERVICOS DE ALOJAMENTO/ALIMENTACAO,SERVIÇO,ALOJAMENTO,ALOJAMENTO E ALIMENTACAO,ALTA,CENTRO AMAZONENSE,COARI,"DE R$ 81.000,01 A R$ 360.000,00",18,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
b0ab88c6ae5e0846f0b8bd63b8472e9ecb73edf9188ff14043e506548bef0233,RN,INDUSTRIA DA CONSTRUCAO,CONSTRUÇÃO CIVIL,SERVICOS ESPECIALIZADOS PARA CONSTRUCAO,CONSTRUCAO,ALTA,LESTE POTIGUAR,LITORAL SUL,"ATE R$ 81.000,00",19,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
8d3c6909ab111449f2db1937961f55046f21a86147c0f384271b6c14dbcd33d1,RO,SERVICOS DIVERSOS,SERVIÇO,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS,OUTRAS ATIVIDADES DE SERVICOS,BAIXA,,,"DE R$ 81.000,01 A R$ 360.000,00",20,ASSOCIACAO PRIVADA,False,False,False,False,False,0
c30c81b4e8526ce3cfe4dda880795e1c4353d39058ddad0af9ddcdd3582e3f91,PI,SERVICOS DIVERSOS,SERVIÇO,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS,OUTRAS ATIVIDADES DE SERVICOS,ALTA,CENTRO NORTE PIAUIENSE,TERESINA,"DE R$ 360.000,01 A R$ 1.500.000,00",21,ASSOCIACAO PRIVADA,False,False,False,False,False,0
82aa41448d40afef92908fdfaa7070b2eedb2ffacb10163170c27ab039c59e3b,RO,INDUSTRIA DA CONSTRUCAO,CONSTRUÇÃO CIVIL,SERVICOS ESPECIALIZADOS PARA CONSTRUCAO,CONSTRUCAO,MEDIA,,,"ATE R$ 81.000,00",22,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
9907170763d88708043f32bc265fbf544d69f96605292080c67c35527cf90a80,MA,BENS DE CONSUMO,SERVIÇO,MANUTENCAO REPARACAO E INSTALACAO DE MAQUINAS E EQUIPAMENTOS,INDUSTRIAS DE TRANSFORMACAO,ALTA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,"DE R$ 81.000,01 A R$ 360.000,00",23,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
3d280e33e53e6fa5d63791f1eaf0207f2c079d1d7131759a3c7670c8e9df7c05,PI,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,MEDIA,CENTRO NORTE PIAUIENSE,TERESINA,"ATE R$ 81.000,00",24,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
b047290aec7450aa81dda8aff9cb2e0bf4f01d15a43088741c6c7a8cd9b79dfb,RO,INDUSTRIA DIGITAL,SERVIÇO,ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO,INFORMACAO E COMUNICACAO,MEDIA,,,"DE R$ 81.000,01 A R$ 360.000,00",25,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
459303e2f53eafe5c018c516d21f1cad65ab8a82c7214e0d7403e3cf38e6aa34,AM,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,MEDIA,CENTRO AMAZONENSE,MANAUS,"DE R$ 81.000,01 A R$ 360.000,00",26,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
4e663ebb51860ea4882099302347f35f3f255e184c3849247244a8f1d7bd7c16,PI,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,MEDIA,NORTE PIAUIENSE,BAIXO PARNAIBA PIAUIENSE,"ATE R$ 81.000,00",27,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
efdae0635be4d9b35bfa6292615edc7c103a22317e788ae3fce1c9602f15bdc0,PI,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,BAIXA,SUDOESTE PIAUIENSE,SAO RAIMUNDO NONATO,"DE R$ 81.000,01 A R$ 360.000,00",28,EMPRESARIO INDIVIDUAL,False,True,False,False,False,0
91e260a5a74fc61f90280da08eb356e4d74f913eac77805bb6a20c8eeede0465,RN,SERVICOS DIVERSOS,SERVIÇO,OUTRAS ATIVIDADES DE SERVICOS PESSOAIS,OUTRAS ATIVIDADES DE SERVICOS,ALTA,LESTE POTIGUAR,NATAL,"ATE R$ 81.000,00",29,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
e1df78e89a20f97ff7eace62578dc337c047ea604fc5f1aecf8c2293d2dbef0f,RN,SERVICOS ADMINISTRATIVOS,SERVIÇO,SERVICOS DE ESCRITORIO DE APOIO ADMINISTRATIVO E OUTROS SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS,ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,ALTA,LESTE POTIGUAR,NATAL,"DE R$ 81.000,01 A R$ 360.000,00",30,SOCIEDADE EMPRESARIA LIMITADA,False,False,False,False,False,0
7da38db626e52ddea4e9a559fb7980567e2496ffcf8f1297e2290c2dfe8d1bcb,RN,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,ALTA,AGRESTE POTIGUAR,AGRESTE POTIGUAR,"DE R$ 360.000,01 A R$ 1.500.000,00",31,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
0032e3e6a776cbf4d36efa963b4eda224ddba8af284117273bbd7a2a9d374f96,MA,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,MEDIA,CENTRO MARANHENSE,MEDIO MEARIM,"DE R$ 81.000,01 A R$ 360.000,00",32,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
82d50cb9a323eb65714a527b594857abbabf5921279409f5a5bf158f21e32f6e,RO,SERVICOS DIVERSOS,SERVIÇO,OUTRAS ATIVIDADES DE SERVICOS PESSOAIS,OUTRAS ATIVIDADES DE SERVICOS,MEDIA,,,"DE R$ 81.000,01 A R$ 360.000,00",33,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
ba411f39a37e192eeec2c4d8a801702adcc5fa0f4f83af4232bc497ab6a86690,MA,SERVICOS DIVERSOS,SERVIÇO,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS,OUTRAS ATIVIDADES DE SERVICOS,MEDIA,OESTE MARANHENSE,GURUPI,"DE R$ 81.000,01 A R$ 360.000,00",34,ASSOCIACAO PRIVADA,False,False,False,False,False,0
5124a4ed965efeccdf43cd402f05d127f5e87fcc2d88f70186ca1e4216644323,AC,TEXTEIS,INDUSTRIA,FABRICACAO DE PRODUTOS TEXTEIS,INDUSTRIAS DE TRANSFORMACAO,MEDIA,VALE DO ACRE,BRASILEIA,"DE R$ 81.000,01 A R$ 360.000,00",35,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
228515b8d07a692abba2efd8883dc8eed526a3bd719b4a0570a766a9d249d037,PI,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,BAIXA,CENTRO NORTE PIAUIENSE,TERESINA,"DE R$ 81.000,01 A R$ 360.000,00",36,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
442b98ae27630925b26e1dd590c8ee0c75d2bab0e2ab26873ff54a4c54d491e9,MA,SERVICOS DIVERSOS,SERVIÇO,OUTRAS ATIVIDADES DE SERVICOS PESSOAIS,OUTRAS ATIVIDADES DE SERVICOS,ALTA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,,37,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
e93a20892b53018debe7454c6a1525b3c387a4d8338b50468ffce3dc77bd3683,RN,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,MEDIA,LESTE POTIGUAR,LITORAL SUL,"DE R$ 81.000,01 A R$ 360.000,00",38,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
a63883e2025bc020855fcacec951b9a930e07830b5963ecc00fee65c0e00fa77,PI,COMERCIO POR ATACADO,COMERCIO,COMERCIO POR ATACADO EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,BAIXA,CENTRO NORTE PIAUIENSE,TERESINA,"DE R$ 81.000,01 A R$ 360.000,00",39,SOCIEDADE EMPRESARIA LIMITADA,False,False,False,False,False,0
f850cc519bed97d819b7a001e0d6204585d005c1b7985b7caa90c01dceadf941,PI,"SERVICOS PROFISSIONAIS, TECNICOS E CIENTIFICOS",SERVIÇO,SERVICOS DE ARQUITETURA E ENGENHARIA TESTES E ANALISES TECNICAS,ATIVIDADES PROFISSIONAIS CIENTIFICAS E TECNICAS,MEDIA,CENTRO NORTE PIAUIENSE,TERESINA,"DE R$ 81.000,01 A R$ 360.000,00",40,SOCIEDADE EMPRESARIA LIMITADA,False,False,False,False,False,0
5ad344c46e2ed4691bbb223eb689d2786a93c48fbdac894693d6be903de5fe9a,MA,TELECOM,SERVIÇO,TELECOMUNICACOES,INFORMACAO E COMUNICACAO,BAIXA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,,41,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
6dd693320581606b2d789580ed2a682e94de839033f8de88e83fc6910080ed39,AM,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,ALTA,CENTRO AMAZONENSE,MANAUS,"ATE R$ 81.000,00",42,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
199cced590dc68c90e2a725a51afacf34b5ab88c7778937455f29caa5fb5d700,AM,SERVICOS DE SAUDE,SERVIÇO,ATIVIDADES DE ATENCAO A SAUDE HUMANA,SAUDE HUMANA E SERVICOS SOCIAIS,ALTA,CENTRO AMAZONENSE,MANAUS,"DE R$ 81.000,01 A R$ 360.000,00",43,SOCIEDADE EMPRESARIA LIMITADA,False,False,False,False,False,0
474c4d2ec42aaa7feaacb73a0eec10516c9fae98919c84fcae6aa2210e93be80,AM,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,,CENTRO AMAZONENSE,MANAUS,SEM INFORMACAO,44,SOCIEDADE EMPRESARIA LIMITADA,False,False,False,False,False,22
cff0106ea1379aa003b3b03774ce1c93444871577260d1fbc63083b06c8b1ecf,RN,SERVICOS DIVERSOS,SERVIÇO,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS,OUTRAS ATIVIDADES DE SERVICOS,ALTA,CENTRAL POTIGUAR,SERIDO OCIDENTAL,"DE R$ 360.000,01 A R$ 1.500.000,00",45,ASSOCIACAO PRIVADA,False,False,False,False,False,0
6f43b733549cbf72101f77ca639a9d656bb282da8fb6393f791dae1c5d4460ae,RN,COMERCIO E REPARACAO DE VEICULOS,COMERCIO,COMERCIO E REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,ALTA,LESTE POTIGUAR,NATAL,"ATE R$ 81.000,00",46,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
4a274bdf9d82bba025e1bf5c977345a3e641fd9ea93fbc8a172937ad4dd09f02,PI,"CULTURA, ESPORTE E RECREACAO",SERVIÇO,ATIVIDADES ESPORTIVAS E DE RECREACAO E LAZER,ARTES CULTURA ESPORTE E RECREACAO,MEDIA,SUDOESTE PIAUIENSE,ALTO MEDIO GURGUEIA,"DE R$ 81.000,01 A R$ 360.000,00",47,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
ff1790ab5fd3bd111f72c990a8d54383dafc5c44f77b793c73e3e9d5fcc214b3,PI,COMERCIO E REPARACAO DE VEICULOS,COMERCIO,COMERCIO E REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,ALTA,SUDOESTE PIAUIENSE,CHAPADAS DO EXTREMO SUL PIAUIENSE,"DE R$ 81.000,01 A R$ 360.000,00",48,EMPRESARIO INDIVIDUAL,False,False,False,False,False,1
f08c6cf195847df05af6c05f3d01ad37cdf5da7961b479cc9228991003b03f26,MA,COMERCIO E REPARACAO DE VEICULOS,COMERCIO,COMERCIO E REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,MEDIA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,"DE R$ 360.000,01 A R$ 1.500.000,00",49,EMPRESARIO INDIVIDUAL,False,False,False,False,False,1
ab2218ae31a140f03a1e2eca9ef35c3ee8a4d0f420981f80e2d9a13321042a5a,MA,COMERCIO VAREJISTA,COMERCIO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,BAIXA,LESTE MARANHENSE,CHAPADINHA,"DE R$ 81.000,01 A R$ 360.000,00",50,EMPRESARIO INDIVIDUAL,False,False,False,True,False,0
c95a5e0e4374b910bb33e37394e8994f8e7fd659b9ae2c3cdd36ae9f73be840e,AM,SERVICOS ADMINISTRATIVOS,SERVIÇO,SERVICOS PARA EDIFICIOS E ATIVIDADES PAISAGISTICAS,ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,MEDIA,CENTRO AMAZONENSE,MANAUS,"DE R$ 81.000,01 A R$ 360.000,00",51,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
3dcd0f6000afc0b8c57f0fa8f4efc27beacb34fb5af3d9cf5d026dc37eeb0729,MA,SERVICOS ADMINISTRATIVOS,SERVIÇO,ALUGUEIS NAO IMOBILIARIOS E GESTAO DE ATIVOS INTANGIVEIS NAO FINANCEIROS,ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,MEDIA,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,"DE R$ 81.000,01 A R$ 360.000,00",52,EMPRESARIO INDIVIDUAL,False,False,False,False,False,0
9e27baa07c08a20fac2f410353841d064911b72780bf9833a3289669f8d440f7,MA,SERVICOS DIVERSOS,SERVIÇO,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS,OUTRAS ATIVIDADES DE SERVICOS,MEDIA,CENTRO MARANHENSE,PRESIDENTE DUTRA,"DE R$ 81.000,01 A R$ 360.000,00",53,ENTIDADE SINDICAL,False,False,False,False,False,0
